id,generation,name,set_num,supertype,legalities
base1-86,First,PokÃ©mon Flute,86,Trainer,{'unlimited': 'Legal'}
base1-87,First,PokÃ©dex,87,Trainer,"{'unlimited': 'Legal', 'expanded': 'Legal'}"
base1-88,First,Professor Oak,88,Trainer,{'unlimited': 'Legal'}
base1-89,First,Revive,89,Trainer,{'unlimited': 'Legal'}
base1-90,First,Super Potion,90,Trainer,{'unlimited': 'Legal'}
base1-91,First,Bill,91,Trainer,{'unlimited': 'Legal'}
base1-92,First,Energy Removal,92,Trainer,{'unlimited': 'Legal'}
base1-93,First,Gust of Wind,93,Trainer,{'unlimited': 'Legal'}
base1-94,First,Potion,94,Trainer,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
base1-95,First,Switch,95,Trainer,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
base1-96,First,Double Colorless Energy,96,Energy,"{'unlimited': 'Legal', 'expanded': 'Legal'}"
base1-97,First,Fighting Energy,97,Energy,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
base1-98,First,Fire Energy,98,Energy,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
base1-99,First,Grass Energy,99,Energy,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
base1-100,First,Lightning Energy,100,Energy,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
base1-101,First,Psychic Energy,101,Energy,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
base1-102,First,Water Energy,102,Energy,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
base2-1,First,Clefable,1,Pokémon,{'unlimited': 'Legal'}
base2-2,First,Electrode,2,Pokémon,{'unlimited': 'Legal'}
base2-3,First,Flareon,3,Pokémon,{'unlimited': 'Legal'}
base2-4,First,Jolteon,4,Pokémon,{'unlimited': 'Legal'}
base2-5,First,Kangaskhan,5,Pokémon,{'unlimited': 'Legal'}
base2-6,First,Mr. Mime,6,Pokémon,{'unlimited': 'Legal'}
base2-7,First,Nidoqueen,7,Pokémon,{'unlimited': 'Legal'}
base2-8,First,Pidgeot,8,Pokémon,{'unlimited': 'Legal'}
base2-9,First,Pinsir,9,Pokémon,{'unlimited': 'Legal'}
base2-10,First,Scyther,10,Pokémon,{'unlimited': 'Legal'}
base2-11,First,Snorlax,11,Pokémon,{'unlimited': 'Legal'}
base2-12,First,Vaporeon,12,Pokémon,{'unlimited': 'Legal'}
base2-13,First,Venomoth,13,Pokémon,{'unlimited': 'Legal'}
base2-14,First,Victreebel,14,Pokémon,{'unlimited': 'Legal'}
base2-15,First,Vileplume,15,Pokémon,{'unlimited': 'Legal'}
base2-16,First,Wigglytuff,16,Pokémon,{'unlimited': 'Legal'}
base2-17,First,Clefable,17,Pokémon,{'unlimited': 'Legal'}
base2-18,First,Electrode,18,Pokémon,{'unlimited': 'Legal'}
base2-19,First,Flareon,19,Pokémon,{'unlimited': 'Legal'}
base2-20,First,Jolteon,20,Pokémon,{'unlimited': 'Legal'}
base2-21,First,Kangaskhan,21,Pokémon,{'unlimited': 'Legal'}
base2-22,First,Mr. Mime,22,Pokémon,{'unlimited': 'Legal'}
base2-23,First,Nidoqueen,23,Pokémon,{'unlimited': 'Legal'}
base2-24,First,Pidgeot,24,Pokémon,{'unlimited': 'Legal'}
base2-25,First,Pinsir,25,Pokémon,{'unlimited': 'Legal'}
base2-26,First,Scyther,26,Pokémon,{'unlimited': 'Legal'}
base2-27,First,Snorlax,27,Pokémon,{'unlimited': 'Legal'}
base2-28,First,Vaporeon,28,Pokémon,{'unlimited': 'Legal'}
base2-29,First,Venomoth,29,Pokémon,{'unlimited': 'Legal'}
base2-30,First,Victreebel,30,Pokémon,{'unlimited': 'Legal'}
base2-31,First,Vileplume,31,Pokémon,{'unlimited': 'Legal'}
base2-32,First,Wigglytuff,32,Pokémon,{'unlimited': 'Legal'}
base2-33,First,Butterfree,33,Pokémon,{'unlimited': 'Legal'}
base2-34,First,Dodrio,34,Pokémon,{'unlimited': 'Legal'}
base2-35,First,Exeggutor,35,Pokémon,{'unlimited': 'Legal'}
base2-36,First,Fearow,36,Pokémon,{'unlimited': 'Legal'}
base2-37,First,Gloom,37,Pokémon,{'unlimited': 'Legal'}
base2-38,First,Lickitung,38,Pokémon,{'unlimited': 'Legal'}
base2-39,First,Marowak,39,Pokémon,{'unlimited': 'Legal'}
base2-40,First,Nidorina,40,Pokémon,{'unlimited': 'Legal'}
base2-41,First,Parasect,41,Pokémon,{'unlimited': 'Legal'}
base2-42,First,Persian,42,Pokémon,{'unlimited': 'Legal'}
base2-43,First,Primeape,43,Pokémon,{'unlimited': 'Legal'}
base2-44,First,Rapidash,44,Pokémon,{'unlimited': 'Legal'}
base2-45,First,Rhydon,45,Pokémon,{'unlimited': 'Legal'}
base2-46,First,Seaking,46,Pokémon,{'unlimited': 'Legal'}
base2-47,First,Tauros,47,Pokémon,{'unlimited': 'Legal'}
base2-48,First,Weepinbell,48,Pokémon,{'unlimited': 'Legal'}
base2-49,First,Bellsprout,49,Pokémon,{'unlimited': 'Legal'}
base2-50,First,Cubone,50,Pokémon,{'unlimited': 'Legal'}
base2-51,First,Eevee,51,Pokémon,{'unlimited': 'Legal'}
base2-52,First,Exeggcute,52,Pokémon,{'unlimited': 'Legal'}
base2-53,First,Goldeen,53,Pokémon,{'unlimited': 'Legal'}
base2-54,First,Jigglypuff,54,Pokémon,{'unlimited': 'Legal'}
base2-55,First,Mankey,55,Pokémon,{'unlimited': 'Legal'}
base2-56,First,Meowth,56,Pokémon,{'unlimited': 'Legal'}
base2-57,First,Nidoran â™€,57,Pokémon,{'unlimited': 'Legal'}
base2-58,First,Oddish,58,Pokémon,{'unlimited': 'Legal'}
base2-59,First,Paras,59,Pokémon,{'unlimited': 'Legal'}
base2-60,First,Pikachu,60,Pokémon,{'unlimited': 'Legal'}
base2-61,First,Rhyhorn,61,Pokémon,{'unlimited': 'Legal'}
base2-62,First,Spearow,62,Pokémon,{'unlimited': 'Legal'}
base2-63,First,Venonat,63,Pokémon,{'unlimited': 'Legal'}
base2-64,First,PokÃ© Ball,64,Trainer,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
basep-1,First,Pikachu,1,Pokémon,{'unlimited': 'Legal'}
basep-2,First,Electabuzz,2,Pokémon,{'unlimited': 'Legal'}
basep-3,First,Mewtwo,3,Pokémon,{'unlimited': 'Legal'}
basep-4,First,Pikachu,4,Pokémon,{'unlimited': 'Legal'}
basep-5,First,Dragonite,5,Pokémon,{'unlimited': 'Legal'}
basep-6,First,Arcanine,6,Pokémon,{'unlimited': 'Legal'}
basep-7,First,Jigglypuff,7,Pokémon,{'unlimited': 'Legal'}
basep-8,First,Mew,8,Pokémon,{'unlimited': 'Legal'}
basep-9,First,Mew,9,Pokémon,{'unlimited': 'Legal'}
basep-10,First,Meowth,10,Pokémon,{'unlimited': 'Legal'}
basep-11,First,Eevee,11,Pokémon,{'unlimited': 'Legal'}
basep-12,First,Mewtwo,12,Pokémon,{'unlimited': 'Legal'}
basep-13,First,Venusaur,13,Pokémon,{'unlimited': 'Legal'}
basep-14,First,Mewtwo,14,Pokémon,{'unlimited': 'Legal'}
basep-15,First,Cool Porygon,15,Pokémon,{'unlimited': 'Legal'}
basep-16,First,Computer Error,16,Trainer,{'unlimited': 'Legal'}
basep-17,First,Dark Persian,17,Pokémon,{'unlimited': 'Legal'}
basep-18,First,Team Rocket's Meowth,18,Pokémon,{'unlimited': 'Legal'}
basep-19,First,Sabrina's Abra,19,Pokémon,{'unlimited': 'Legal'}
basep-20,First,Psyduck,20,Pokémon,{'unlimited': 'Legal'}
basep-21,First,Moltres,21,Pokémon,{'unlimited': 'Legal'}
basep-22,First,Articuno,22,Pokémon,{'unlimited': 'Legal'}
basep-23,First,Zapdos,23,Pokémon,{'unlimited': 'Legal'}
basep-24,First,_____'s Pikachu,24,Pokémon,{'unlimited': 'Legal'}
basep-25,First,Flying Pikachu,25,Pokémon,{'unlimited': 'Legal'}
basep-26,First,Pikachu,26,Pokémon,{'unlimited': 'Legal'}
basep-27,First,Pikachu,27,Pokémon,{'unlimited': 'Legal'}
basep-28,First,Surfing Pikachu,28,Pokémon,"{'unlimited': 'Legal', 'expanded': 'Legal'}"
basep-29,First,Marill,29,Pokémon,{'unlimited': 'Legal'}
basep-30,First,Togepi,30,Pokémon,{'unlimited': 'Legal'}
basep-31,First,Cleffa,31,Pokémon,{'unlimited': 'Legal'}
basep-32,First,Smeargle,32,Pokémon,{'unlimited': 'Legal'}
basep-33,First,Scizor,33,Pokémon,{'unlimited': 'Legal'}
basep-34,First,Entei,34,Pokémon,{'unlimited': 'Legal'}
basep-35,First,Pichu,35,Pokémon,{'unlimited': 'Legal'}
basep-36,First,Igglybuff,36,Pokémon,{'unlimited': 'Legal'}
basep-37,First,Hitmontop,37,Pokémon,{'unlimited': 'Legal'}
basep-38,First,Unown [J],38,Pokémon,{'unlimited': 'Legal'}
basep-39,First,Misdreavus,39,Pokémon,{'unlimited': 'Legal'}
basep-40,First,PokÃ©mon Center,40,Trainer,{'unlimited': 'Legal'}
basep-41,First,Lucky Stadium,41,Trainer,{'unlimited': 'Legal'}
basep-42,First,PokÃ©mon Tower,42,Trainer,{'unlimited': 'Legal'}
basep-43,First,Machamp,43,Pokémon,{'unlimited': 'Legal'}
basep-44,First,Magmar,44,Pokémon,{'unlimited': 'Legal'}
basep-45,First,Scyther,45,Pokémon,{'unlimited': 'Legal'}
basep-46,First,Electabuzz,46,Pokémon,{'unlimited': 'Legal'}
basep-47,First,Mew,47,Pokémon,{'unlimited': 'Legal'}
basep-48,First,Articuno,48,Pokémon,{'unlimited': 'Legal'}
basep-49,First,Snorlax,49,Pokémon,{'unlimited': 'Legal'}
basep-50,First,Celebi,50,Pokémon,{'unlimited': 'Legal'}
basep-51,First,Rapidash,51,Pokémon,{'unlimited': 'Legal'}
basep-52,First,Ho-oh,52,Pokémon,{'unlimited': 'Legal'}
basep-53,First,Suicune,53,Pokémon,{'unlimited': 'Legal'}
base3-1,First,Aerodactyl,1,Pokémon,{'unlimited': 'Legal'}
base3-2,First,Articuno,2,Pokémon,{'unlimited': 'Legal'}
base3-3,First,Ditto,3,Pokémon,{'unlimited': 'Legal'}
base3-4,First,Dragonite,4,Pokémon,{'unlimited': 'Legal'}
base3-5,First,Gengar,5,Pokémon,{'unlimited': 'Legal'}
base3-6,First,Haunter,6,Pokémon,{'unlimited': 'Legal'}
base3-7,First,Hitmonlee,7,Pokémon,{'unlimited': 'Legal'}
base3-8,First,Hypno,8,Pokémon,{'unlimited': 'Legal'}
base3-9,First,Kabutops,9,Pokémon,{'unlimited': 'Legal'}
base3-10,First,Lapras,10,Pokémon,{'unlimited': 'Legal'}
base3-11,First,Magneton,11,Pokémon,{'unlimited': 'Legal'}
base3-12,First,Moltres,12,Pokémon,{'unlimited': 'Legal'}
base3-13,First,Muk,13,Pokémon,{'unlimited': 'Legal'}
base3-14,First,Raichu,14,Pokémon,{'unlimited': 'Legal'}
base3-15,First,Zapdos,15,Pokémon,{'unlimited': 'Legal'}
base3-16,First,Aerodactyl,16,Pokémon,{'unlimited': 'Legal'}
base3-17,First,Articuno,17,Pokémon,{'unlimited': 'Legal'}
base3-18,First,Ditto,18,Pokémon,{'unlimited': 'Legal'}
base3-19,First,Dragonite,19,Pokémon,{'unlimited': 'Legal'}
base3-20,First,Gengar,20,Pokémon,{'unlimited': 'Legal'}
base3-21,First,Haunter,21,Pokémon,{'unlimited': 'Legal'}
base3-22,First,Hitmonlee,22,Pokémon,{'unlimited': 'Legal'}
base3-23,First,Hypno,23,Pokémon,{'unlimited': 'Legal'}
base3-24,First,Kabutops,24,Pokémon,{'unlimited': 'Legal'}
base3-25,First,Lapras,25,Pokémon,{'unlimited': 'Legal'}
base3-26,First,Magneton,26,Pokémon,{'unlimited': 'Legal'}
base3-27,First,Moltres,27,Pokémon,{'unlimited': 'Legal'}
base3-28,First,Muk,28,Pokémon,{'unlimited': 'Legal'}
base3-29,First,Raichu,29,Pokémon,{'unlimited': 'Legal'}
base3-30,First,Zapdos,30,Pokémon,{'unlimited': 'Legal'}
base3-31,First,Arbok,31,Pokémon,{'unlimited': 'Legal'}
base3-32,First,Cloyster,32,Pokémon,{'unlimited': 'Legal'}
base3-33,First,Gastly,33,Pokémon,{'unlimited': 'Legal'}
base3-34,First,Golbat,34,Pokémon,{'unlimited': 'Legal'}
base3-35,First,Golduck,35,Pokémon,{'unlimited': 'Legal'}
base3-36,First,Golem,36,Pokémon,{'unlimited': 'Legal'}
base3-37,First,Graveler,37,Pokémon,{'unlimited': 'Legal'}
base3-38,First,Kingler,38,Pokémon,{'unlimited': 'Legal'}
base3-39,First,Magmar,39,Pokémon,{'unlimited': 'Legal'}
base3-40,First,Omastar,40,Pokémon,{'unlimited': 'Legal'}
base3-41,First,Sandslash,41,Pokémon,{'unlimited': 'Legal'}
base3-42,First,Seadra,42,Pokémon,{'unlimited': 'Legal'}
base3-43,First,Slowbro,43,Pokémon,{'unlimited': 'Legal'}
base3-44,First,Tentacruel,44,Pokémon,{'unlimited': 'Legal'}
base3-45,First,Weezing,45,Pokémon,{'unlimited': 'Legal'}
base3-46,First,Ekans,46,Pokémon,{'unlimited': 'Legal'}
base3-47,First,Geodude,47,Pokémon,{'unlimited': 'Legal'}
base3-48,First,Grimer,48,Pokémon,{'unlimited': 'Legal'}
base3-49,First,Horsea,49,Pokémon,{'unlimited': 'Legal'}
base3-50,First,Kabuto,50,Pokémon,{'unlimited': 'Legal'}
base3-51,First,Krabby,51,Pokémon,{'unlimited': 'Legal'}
base3-52,First,Omanyte,52,Pokémon,{'unlimited': 'Legal'}
base3-53,First,Psyduck,53,Pokémon,{'unlimited': 'Legal'}
base3-54,First,Shellder,54,Pokémon,{'unlimited': 'Legal'}
base3-55,First,Slowpoke,55,Pokémon,{'unlimited': 'Legal'}
base3-56,First,Tentacool,56,Pokémon,{'unlimited': 'Legal'}
base3-57,First,Zubat,57,Pokémon,{'unlimited': 'Legal'}
base3-58,First,Mr. Fuji,58,Trainer,{'unlimited': 'Legal'}
base3-59,First,Energy Search,59,Trainer,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
base3-60,First,Gambler,60,Trainer,{'unlimited': 'Legal'}
base3-61,First,Recycle,61,Trainer,"{'unlimited': 'Legal', 'expanded': 'Legal'}"
base3-62,First,Mysterious Fossil,62,Trainer,{'unlimited': 'Legal'}
base4-1,First,Alakazam,1,Pokémon,{'unlimited': 'Legal'}
base4-2,First,Blastoise,2,Pokémon,{'unlimited': 'Legal'}
base4-3,First,Chansey,3,Pokémon,{'unlimited': 'Legal'}
base4-4,First,Charizard,4,Pokémon,{'unlimited': 'Legal'}
base4-5,First,Clefable,5,Pokémon,{'unlimited': 'Legal'}
base4-6,First,Clefairy,6,Pokémon,{'unlimited': 'Legal'}
base4-7,First,Gyarados,7,Pokémon,{'unlimited': 'Legal'}
base4-8,First,Hitmonchan,8,Pokémon,{'unlimited': 'Legal'}
base4-9,First,Magneton,9,Pokémon,{'unlimited': 'Legal'}
base4-10,First,Mewtwo,10,Pokémon,{'unlimited': 'Legal'}
base4-11,First,Nidoking,11,Pokémon,{'unlimited': 'Legal'}
base4-12,First,Nidoqueen,12,Pokémon,{'unlimited': 'Legal'}
base4-13,First,Ninetales,13,Pokémon,{'unlimited': 'Legal'}
base4-14,First,Pidgeot,14,Pokémon,{'unlimited': 'Legal'}
base4-15,First,Poliwrath,15,Pokémon,{'unlimited': 'Legal'}
base4-16,First,Raichu,16,Pokémon,{'unlimited': 'Legal'}
base4-17,First,Scyther,17,Pokémon,{'unlimited': 'Legal'}
base4-18,First,Venusaur,18,Pokémon,{'unlimited': 'Legal'}
base4-19,First,Wigglytuff,19,Pokémon,{'unlimited': 'Legal'}
base4-20,First,Zapdos,20,Pokémon,{'unlimited': 'Legal'}
base4-21,First,Beedrill,21,Pokémon,{'unlimited': 'Legal'}
base4-22,First,Dragonair,22,Pokémon,{'unlimited': 'Legal'}
base4-23,First,Dugtrio,23,Pokémon,{'unlimited': 'Legal'}
base4-24,First,Electabuzz,24,Pokémon,{'unlimited': 'Legal'}
base4-25,First,Electrode,25,Pokémon,{'unlimited': 'Legal'}
base4-26,First,Kangaskhan,26,Pokémon,{'unlimited': 'Legal'}
base4-27,First,Mr. Mime,27,Pokémon,{'unlimited': 'Legal'}
base4-28,First,Pidgeotto,28,Pokémon,{'unlimited': 'Legal'}
base4-29,First,Pinsir,29,Pokémon,{'unlimited': 'Legal'}
base4-30,First,Snorlax,30,Pokémon,{'unlimited': 'Legal'}
base4-31,First,Venomoth,31,Pokémon,{'unlimited': 'Legal'}
base4-32,First,Victreebel,32,Pokémon,{'unlimited': 'Legal'}
base4-33,First,Arcanine,33,Pokémon,{'unlimited': 'Legal'}
base4-34,First,Butterfree,34,Pokémon,{'unlimited': 'Legal'}
base4-35,First,Charmeleon,35,Pokémon,{'unlimited': 'Legal'}
base4-36,First,Dewgong,36,Pokémon,{'unlimited': 'Legal'}
base4-37,First,Dodrio,37,Pokémon,{'unlimited': 'Legal'}
base4-38,First,Dratini,38,Pokémon,{'unlimited': 'Legal'}
base4-39,First,Exeggutor,39,Pokémon,{'unlimited': 'Legal'}
base4-40,First,Farfetch'd,40,Pokémon,{'unlimited': 'Legal'}
base4-41,First,Fearow,41,Pokémon,{'unlimited': 'Legal'}
base4-42,First,Growlithe,42,Pokémon,{'unlimited': 'Legal'}
base4-43,First,Haunter,43,Pokémon,{'unlimited': 'Legal'}
base4-44,First,Ivysaur,44,Pokémon,{'unlimited': 'Legal'}
base4-45,First,Jynx,45,Pokémon,{'unlimited': 'Legal'}
base4-46,First,Kadabra,46,Pokémon,{'unlimited': 'Legal'}
base4-47,First,Kakuna,47,Pokémon,{'unlimited': 'Legal'}
base4-48,First,Lickitung,48,Pokémon,{'unlimited': 'Legal'}
base4-49,First,Machoke,49,Pokémon,{'unlimited': 'Legal'}
base4-50,First,Magikarp,50,Pokémon,{'unlimited': 'Legal'}
base4-51,First,Magmar,51,Pokémon,{'unlimited': 'Legal'}
base4-52,First,Marowak,52,Pokémon,{'unlimited': 'Legal'}
base4-53,First,Nidorina,53,Pokémon,{'unlimited': 'Legal'}
base4-54,First,Nidorino,54,Pokémon,{'unlimited': 'Legal'}
base4-55,First,Parasect,55,Pokémon,{'unlimited': 'Legal'}
base4-56,First,Persian,56,Pokémon,{'unlimited': 'Legal'}
base4-57,First,Poliwhirl,57,Pokémon,{'unlimited': 'Legal'}
base4-58,First,Raticate,58,Pokémon,{'unlimited': 'Legal'}
base4-59,First,Rhydon,59,Pokémon,{'unlimited': 'Legal'}
base4-60,First,Seaking,60,Pokémon,{'unlimited': 'Legal'}
base4-61,First,Seel,61,Pokémon,{'unlimited': 'Legal'}
base4-62,First,Tauros,62,Pokémon,{'unlimited': 'Legal'}
base4-63,First,Wartortle,63,Pokémon,{'unlimited': 'Legal'}
base4-64,First,Weepinbell,64,Pokémon,{'unlimited': 'Legal'}
base4-65,First,Abra,65,Pokémon,{'unlimited': 'Legal'}
base4-66,First,Bellsprout,66,Pokémon,{'unlimited': 'Legal'}
base4-67,First,Bulbasaur,67,Pokémon,{'unlimited': 'Legal'}
base4-68,First,Caterpie,68,Pokémon,"{'unlimited': 'Legal', 'expanded': 'Legal'}"
base4-69,First,Charmander,69,Pokémon,{'unlimited': 'Legal'}
base4-70,First,Cubone,70,Pokémon,{'unlimited': 'Legal'}
base4-71,First,Diglett,71,Pokémon,{'unlimited': 'Legal'}
base4-72,First,Doduo,72,Pokémon,{'unlimited': 'Legal'}
base4-73,First,Drowzee,73,Pokémon,{'unlimited': 'Legal'}
base4-74,First,Exeggcute,74,Pokémon,{'unlimited': 'Legal'}
base4-75,First,Gastly,75,Pokémon,{'unlimited': 'Legal'}
base4-76,First,Goldeen,76,Pokémon,{'unlimited': 'Legal'}
base4-77,First,Jigglypuff,77,Pokémon,{'unlimited': 'Legal'}
base4-78,First,Machop,78,Pokémon,{'unlimited': 'Legal'}
base4-79,First,Magnemite,79,Pokémon,{'unlimited': 'Legal'}
base4-80,First,Meowth,80,Pokémon,{'unlimited': 'Legal'}
base4-81,First,Metapod,81,Pokémon,{'unlimited': 'Legal'}
base4-82,First,Nidoran â™€,82,Pokémon,{'unlimited': 'Legal'}
base4-83,First,Nidoran â™‚,83,Pokémon,{'unlimited': 'Legal'}
base4-84,First,Onix,84,Pokémon,{'unlimited': 'Legal'}
base4-85,First,Paras,85,Pokémon,{'unlimited': 'Legal'}
base4-86,First,Pidgey,86,Pokémon,{'unlimited': 'Legal'}
base4-87,First,Pikachu,87,Pokémon,{'unlimited': 'Legal'}
base4-88,First,Poliwag,88,Pokémon,{'unlimited': 'Legal'}
base4-89,First,Rattata,89,Pokémon,{'unlimited': 'Legal'}
base4-90,First,Rhyhorn,90,Pokémon,{'unlimited': 'Legal'}
base4-91,First,Sandshrew,91,Pokémon,{'unlimited': 'Legal'}
base4-92,First,Spearow,92,Pokémon,{'unlimited': 'Legal'}
base4-93,First,Squirtle,93,Pokémon,{'unlimited': 'Legal'}
base4-94,First,Starmie,94,Pokémon,{'unlimited': 'Legal'}
base4-95,First,Staryu,95,Pokémon,{'unlimited': 'Legal'}
